APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2104070857,150963,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,7/7/2021
CD2109080584,37874,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,10/19/2021
CD2112150623,33535,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",6 years,12/20/2021
CD2112091032,83406.31,CONSTRUCTION,USA,"500,000 - 1,000,000",2 years,1/6/2022
CD2104120810,85995,OTHER,USA,"250,000 - 500,000",10+ years,4/14/2021
CD2109080620,41561.5,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,11/25/2021
CD2111030864,19349.84,CONSTRUCTION,CAN,"500,000 - 1,000,000",5 years,11/5/2021
CD2109030913,62995,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,11/16/2021
CD2104120521,32783,CONSTRUCTION,USA,"500,000 - 1,000,000",8 years,4/22/2021
CD2112100751,22968.41,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,12/15/2021
CD2112150560,33823.25,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,12/16/2021
CD2110070539,49420.82,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,1/18/2022
CD2203141157,180975,MANUFACTURING,USA,"5,000,000 - 10,000,000",10+ years,3/17/2022
CD2111151010,57472.5,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",1 year,12/2/2021
CD2111030821,15995,CONSTRUCTION,USA,"Under 250,000",9 years,11/4/2021
CD2112091214,25724.45,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,12/22/2021
CD2105210899,112482.28,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,3/15/2022
CD2111151061,264390.6,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/24/2021
CD2112150641,92498.84,SHORT-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",8 years,12/23/2021
CD2109030780,60728,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/24/2021
CD2104070732,22460,CONSTRUCTION,CAN,"Under 250,000",10+ years,5/7/2021
CD2111160506,186818.41,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,12/1/2021
CD2112150710,68790,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,2/17/2022
CD2112100034,115514.57,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,12/14/2021
CD2106070518,46995,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,7/19/2021
CD2111150777,22329.5,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",9 years,12/16/2021
CD2112150948,167590,FORESTRY,USA,"500,000 - 1,000,000",4 years,1/6/2022
CD2110070553,55300,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/20/2021
CD2105210873,33995,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,5/28/2021
CD2109080420,110150,CONSTRUCTION,USA,"500,000 - 1,000,000",1 year,9/14/2021
CD2201130323,120861.95,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,2/14/2022
CD2109030308,61296.8,OTHER,USA,"500,000 - 1,000,000",10+ years,9/7/2021
CD2108200499,103900,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",2 years,10/6/2021
CD2109080654,98192.8,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,9/13/2021
CD2012150839,48461.75,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,3/5/2021
CD2110071051,149045,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,10/22/2021
CD2104080267,85394.32,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,4/20/2021
